n          x           y
1  0.28757752  1.16443996
2  0.78830514 -0.88780200
3  0.40897692  0.17413059
4  0.88301740 -0.21743732
5  0.94046728 -0.07645417
6  0.04555650  0.26285704
7  0.52810549 -0.45020937
8  0.89241904 -0.88236568
9  0.55143501 -0.39313237
10 0.45661474  0.15201462
11 0.95683335 -0.64790568
12 0.45333416  0.25912870
13 0.67757064 -0.52350905
14 0.57263340 -0.49157948
15 0.10292468  0.19461123
16 0.89982497 -0.87515511
17 0.24608773  1.23942552
18 0.04205953  0.14918285
19 0.32792072  0.42349275
20 0.95450365 -0.49184749
21 0.88953932 -0.68494536
22 0.69280341 -0.62575853
23 0.64050681 -0.82552774
24 0.99426978  0.07943064
25 0.65570580 -1.95912808
